"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Duterte takes stock market on wild ride in first 100 days - Manila Bulletin https://t.co/lwT0qAhcHE",FALSE,0,NA,2016-10-08 11:01:34,FALSE,NA,"784710322502283264",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","StockMarketPHIL",0,FALSE,FALSE,NA,NA
"2","RT @PhilStarSUPREME: Game of trolls: Spot the bullshit Duterte diehards say on the Internet https://t.co/R3mmzHWVS1 by @Watdahel_Marcel httâ€¦",FALSE,0,NA,2016-10-08 11:01:22,FALSE,NA,"784710270908194817",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","alextempore",135,TRUE,FALSE,NA,NA
"3","RT @PhilStarSUPREME: Game of trolls: Spot the bullshit Duterte diehards say on the Internet https://t.co/R3mmzHWVS1 by @Watdahel_Marcel httâ€¦",FALSE,0,NA,2016-10-08 11:01:18,FALSE,NA,"784710256005746688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","settledownira",135,TRUE,FALSE,NA,NA
"4","RT @gmanews: Experts: President Duterteâ€™s first 100 days was satisfactory but there is much more to be done for change to happen. https://tâ€¦",FALSE,0,NA,2016-10-08 11:01:17,FALSE,NA,"784710249357783041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maknaehoarder",4,TRUE,FALSE,NA,NA
"5","@mukeaudio duterte gon murder them if ever they come here",FALSE,0,"mukeaudio",2016-10-08 11:01:15,FALSE,"784706180744482816","784710240042221568","716190576161345536","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zapreme",0,FALSE,FALSE,NA,NA
"6","@wikileaks enjoy, the lord of the world. the situation is changin not only in the west but in the east as well
https://t.co/nVK7WqpAv4",FALSE,0,"wikileaks",2016-10-08 11:01:07,FALSE,"784562162656243713","784710210250309632","16589206","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","laborich",0,FALSE,FALSE,NA,NA
"7","RT @TheRealPolina: Duterte is now considering closer relations with China and Russia and distancing itself from the US because Obama essentâ€¦",FALSE,0,NA,2016-10-08 11:00:52,FALSE,NA,"784710143892189184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tyrion_Lann_Imp",1,TRUE,FALSE,NA,NA
"8","https://t.co/ypjA802t1p another view of current affairs.",FALSE,0,NA,2016-10-08 11:00:51,FALSE,NA,"784710140658327552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","botiojanco",0,FALSE,FALSE,NA,NA
"9","RT @qz: Philippine president Rodrigo Duterteâ€™s thin skin and bombast is threatening the peace in Southeast Asia https://t.co/RxjD1ni125",FALSE,0,NA,2016-10-08 11:00:48,FALSE,NA,"784710126687125504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mozza_tom",4,TRUE,FALSE,NA,NA
"10","kuya duterte nman oh https://t.co/gyTS7MH9ag",FALSE,0,NA,2016-10-08 11:00:47,FALSE,NA,"784710124237565952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","audrienneee",0,FALSE,FALSE,NA,NA
