"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Duterte Live show! https://t.co/B0TrZXaiSf",FALSE,0,NA,2016-10-08 10:57:25,FALSE,NA,"784709275553673216",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","_jrsalgado",0,FALSE,FALSE,NA,NA
"2","RT @peacegovph: EU Amb. Franz Jessen said the peace progress w/ NDF is an important breakthrough of Pres. Duterte in his 100th day.
https:/‚Ä¶",FALSE,0,NA,2016-10-08 10:56:30,FALSE,NA,"784709046674874368",NA,"<a href=""http://maria5994.tumblr.com"" rel=""nofollow"">Maria599490177</a>","Maria5994",8,TRUE,FALSE,NA,NA
"3","https://t.co/uGcCWo0j2A another joke Mr Pres? Tsss...",FALSE,0,NA,2016-10-08 10:55:48,FALSE,NA,"784708869364645888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ANNEknownme",0,FALSE,FALSE,NA,NA
"4","RT @peacegovph: EU Amb. Franz Jessen said the peace progress w/ NDF is an important breakthrough of Pres. Duterte in his 100th day.
https:/‚Ä¶",FALSE,0,NA,2016-10-08 10:55:27,FALSE,NA,"784708780755783680",NA,"<a href=""http://milgrsmtt264.tumblr.com"" rel=""nofollow"">MilgrsMtt26446913</a>","MilgrsMtt264",8,TRUE,FALSE,NA,NA
"5","https://t.co/9V9CVgCLw8 Indonesia taking its cue from Pres Duterte of the Philippines, which is very good @marcelsardo @RussiaConnects",FALSE,0,NA,2016-10-08 10:54:57,FALSE,NA,"784708658026389504",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bdust10",0,FALSE,FALSE,NA,NA
"6","RT @pompeelavina: Pres. Duterte's morning show, coming soon! &lt;2 https://t.co/Wto0OvLCmR",FALSE,0,NA,2016-10-08 10:48:20,FALSE,NA,"784706991960760320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RGumbao",16,TRUE,FALSE,NA,NA
"7","Pres. Rodrigo Duterte fingerheart pose Ì†ΩÌ∏ç‚ù§ https://t.co/eedyuRyy7l",FALSE,0,NA,2016-10-08 10:40:45,FALSE,NA,"784705084194074624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","syugaed",0,FALSE,FALSE,NA,NA
"8","RT @kmanlupigINQ: CPP founding chair Joma Sison satisfied with the performance of Pres. Duterte in his first 100 days in office.",FALSE,0,NA,2016-10-08 10:37:41,FALSE,NA,"784704310588256257",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nednared",3,TRUE,FALSE,NA,NA
"9","RT @NAPC_ph: This summit is an effort of NAPC for participatory governance of Pres. Rodrigo Duterte. #GapiinAngKahirapan #PartnerForChange",FALSE,0,NA,2016-10-08 10:36:42,FALSE,NA,"784704061895344128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TamborMyra",2,TRUE,FALSE,NA,NA
"10","RT @mindavote: No more tanim bala at NAIA
#100DaysOfChange #PartnerForChange

Help us combat the bad press Pres. Rodrigo Duterte... https:/‚Ä¶",FALSE,0,NA,2016-10-08 10:34:34,FALSE,NA,"784703527167913984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chief0730",2,TRUE,FALSE,NA,NA
"11","CPP founding chair Joma Sison satisfied with the performance of Pres. Duterte in his first 100 days in office. | @kmanlupigINQ",FALSE,3,"inquirerdotnet",2016-10-08 10:32:53,FALSE,"784694439004418048","784703101085159424","15448383","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","inquirerdotnet",0,FALSE,FALSE,NA,NA
"12","RT @piacayetano: Sen Marcos suggests that Duterte is immediately proclaimed Pres but expresses his reservation on the canvassing of the VP‚Ä¶",FALSE,0,NA,2016-10-08 10:30:31,FALSE,NA,"784702505930280960",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","shyu166",12,TRUE,FALSE,NA,NA
"13","Pres.duterte at s knauukulan po ng pnp.cidg.nbi at afp sn po wg nyo kming pbayaan mphamak sn po mtulungan nyo po kmi mga sir.",FALSE,1,NA,2016-10-08 10:28:07,FALSE,NA,"784701903678636032",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","LlanetaArwin",0,FALSE,FALSE,NA,NA
"14","RT @kmanlupigINQ: CPP founding chair Joma Sison satisfied with the performance of Pres. Duterte in his first 100 days in office.",FALSE,0,NA,2016-10-08 10:27:59,FALSE,NA,"784701871130710016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HKRED",3,TRUE,FALSE,NA,NA
"15","@BBCWorld Pres. Duterte Go Alliance to CHINA? by Nandy San Diego https://t.co/Zkc5sjjgy6 via @YouTube",FALSE,0,"BBCWorld",2016-10-08 10:26:41,FALSE,NA,"784701544566366209","742143","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pnoysuprman",0,FALSE,FALSE,NA,NA
"16","@ellerich17 Pres. Duterte Kumampi na sa CHINA? by Nandy San Diego https://t.co/Zkc5sjjgy6 via @YouTube",FALSE,0,"ellerich17",2016-10-08 10:24:37,FALSE,NA,"784701022790782976","49324978","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pnoysuprman",0,FALSE,FALSE,NA,NA
"17","@XHNews Pres. Duterte Kumampi na sa CHINA? by Nandy San Diego https://t.co/Zkc5sjjgy6 via @YouTube",FALSE,0,"XHNews",2016-10-08 10:24:15,FALSE,NA,"784700930037985280","487118986","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pnoysuprman",0,FALSE,FALSE,NA,NA
"18","@TVPatrol Pres. Duterte Kumampi na sa CHINA? by Nandy San Diego https://t.co/Zkc5sjjgy6 via @YouTube",FALSE,0,"TVPatrol",2016-10-08 10:22:45,FALSE,NA,"784700552345030661","154426751","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pnoysuprman",0,FALSE,FALSE,NA,NA
"19","@ObamaNews Pres. Duterte Kumampi na sa CHINA? by Nandy San Diego https://t.co/Zkc5sjjgy6 via @YouTube",FALSE,0,"ObamaNews",2016-10-08 10:22:05,FALSE,NA,"784700385181040640","14099695","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pnoysuprman",0,FALSE,FALSE,NA,NA
"20","News5 Everywhere - D-DAY PLUS 100: MAHABANG PILA SA MGA AHENSYA, UMIKLI NA BA GAYA NG DIREKTIBA NI PRES. DUTERTE? https://t.co/3nBZNTUYEH",FALSE,0,NA,2016-10-08 10:21:03,FALSE,NA,"784700124849139712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","polobey71",0,FALSE,FALSE,NA,NA
"21","@ABSCBNNews @Duterte4Pres16 Pres. Duterte Kumampi na sa CHINA? by Nandy San Diego https://t.co/Zkc5sjjgy6 via @YouTube",FALSE,0,"ABSCBNNews",2016-10-08 10:20:52,FALSE,NA,"784700079563087872","15872418","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pnoysuprman",0,FALSE,FALSE,NA,NA
"22","CPP founding chair Joma Sison satisfied with the performance of Pres. Duterte in his first 100 days in office.",FALSE,1,NA,2016-10-08 10:16:56,FALSE,NA,"784699088063332352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kmanlupigINQ",3,FALSE,FALSE,NA,NA
"23","@bandila @TimesofIsrael  @ChinaInTheNews @KremlinRussia_E Pres. Duterte Kumanpi na sa CHINA? by Nandy S.https://t.co/Zkc5sjjgy6 via @YouTube",FALSE,0,"bandila",2016-10-08 10:16:40,FALSE,NA,"784699021965144064","214945741","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pnoysuprman",0,FALSE,FALSE,NA,NA
"24","911 AND 8888 HOTLINES
#100DaysOfChange #PartnerForChange

Help us combat the bad press Pres. Rodrigo Duterte has... https://t.co/djT540Rj5S",FALSE,0,NA,2016-10-08 10:15:03,FALSE,NA,"784698614564040704",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","mindavote",0,FALSE,FALSE,NA,NA
"25","@dzbb @TimesofIsrael @UNlTEDSTATES @KremlinRussia_E Pres. Duterte Kumanpi na sa CHINA? by Nandy San Die https://t.co/Zkc5sjjgy6 via @YouTube",FALSE,0,"dzbb",2016-10-08 10:14:18,FALSE,NA,"784698427821088768","461853598","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pnoysuprman",0,FALSE,FALSE,NA,NA
