"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @deejayapINQ: LOOK: ""Le président serial killer,"" President Duterte on front page of French newspaper. Oct. 7 issue: https://t.co/JDY0c7…",FALSE,0,NA,2016-10-08 11:03:46,FALSE,NA,"784710873541513216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tiver_A",62,TRUE,FALSE,NA,NA
"2","RT @gmanews: Experts: President Duterte’s first 100 days was satisfactory but there is much more to be done for change to happen. https://t…",FALSE,0,NA,2016-10-08 11:02:46,FALSE,NA,"784710622474711040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","karl1809",6,TRUE,FALSE,NA,NA
"3","""A drug dealer running for president?!!"" hmmm duterte???",FALSE,0,NA,2016-10-08 11:02:18,FALSE,NA,"784710504702889984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mikhabasila",0,FALSE,FALSE,NA,NA
"4","RT @cnnphilippines: ""Unforgiving."" PNP Chief Ronald Dela Rosa reacts to a netizen's description of President Duterte's first 100 days. #Tow…",FALSE,0,NA,2016-10-08 11:01:43,FALSE,NA,"784710357420040192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","heavensway7",14,TRUE,FALSE,NA,NA
"5","RT @gmanews: Experts: President Duterte’s first 100 days was satisfactory but there is much more to be done for change to happen. https://t…",FALSE,0,NA,2016-10-08 11:01:17,FALSE,NA,"784710249357783041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maknaehoarder",6,TRUE,FALSE,NA,NA
"6","https://t.co/ypjA802t1p another view of current affairs.",FALSE,0,NA,2016-10-08 11:00:51,FALSE,NA,"784710140658327552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","botiojanco",0,FALSE,FALSE,NA,NA
"7","RT @qz: Philippine president Rodrigo Duterte’s thin skin and bombast is threatening the peace in Southeast Asia https://t.co/RxjD1ni125",FALSE,0,NA,2016-10-08 11:00:48,FALSE,NA,"784710126687125504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mozza_tom",4,TRUE,FALSE,NA,NA
"8","RT @AP: In just 100 days in office, Philippine President Duterte has stirred a hornet's nest, at home and abroad. https://t.co/dwuKeHq2Yl",FALSE,0,NA,2016-10-08 11:00:04,FALSE,NA,"784709942573805569",NA,"<a href=""http://oysbharljo.ddns.net/TwitterBots/roybot.py"" rel=""nofollow"">Y8Q94l3q</a>","oysbharljo",64,TRUE,FALSE,NA,NA
"9","100 Days of Change, 100th Day in Office of President Rodrigo Roa Duterte 10/7/2016 https://t.co/9yidsNGS7l",FALSE,0,NA,2016-10-08 10:59:23,FALSE,NA,"784709773161668608",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Antokin_LOTRO",0,FALSE,FALSE,NA,NA
"10","RT @deejayapINQ: LOOK: ""Le président serial killer,"" President Duterte on front page of French newspaper. Oct. 7 issue: https://t.co/JDY0c7…",FALSE,0,NA,2016-10-08 10:58:52,FALSE,NA,"784709639954849792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","san2sant1ag0",62,TRUE,FALSE,NA,NA
"11","RT @deejayapINQ: LOOK: ""Le président serial killer,"" President Duterte on front page of French newspaper. Oct. 7 issue: https://t.co/JDY0c7…",FALSE,0,NA,2016-10-08 10:58:41,FALSE,NA,"784709595340025858",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yujivincent",62,TRUE,FALSE,NA,NA
"12","RT @deejayapINQ: LOOK: ""Le président serial killer,"" President Duterte on front page of French newspaper. Oct. 7 issue: https://t.co/JDY0c7…",FALSE,0,NA,2016-10-08 10:58:26,FALSE,NA,"784709533255905280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","silverio_butch",62,TRUE,FALSE,NA,NA
"13","Welcome foreigners ""MANILA PHILIPPINES"" WE'RE SAFE WITH PRESIDENT DUTERTE ������☺ https://t.co/PM5jRlhe88",FALSE,0,NA,2016-10-08 10:58:24,FALSE,NA,"784709523013369856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fathybague",0,FALSE,FALSE,NA,NA
"14","Philippines President Duterte tells Obama \'you can go to hell\' - USA TODAY https://t.co/kVXJlwq1sS",FALSE,0,NA,2016-10-08 10:57:49,FALSE,NA,"784709379446759424",NA,"<a href=""http://www.tsepa.net"" rel=""nofollow"">Manou Tweeting</a>","AgataMa46114368",0,FALSE,FALSE,NA,NA
"15","Experts: President Duterte’s first 100 days was satisfactory but there is much more to be done for change to happen. …",FALSE,0,NA,2016-10-08 10:57:33,FALSE,NA,"784709312572710912",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","maxangelo987",0,FALSE,FALSE,NA,NA
"16","RT @bilyonaryo_ph: RSA supports Duterte: He will be the best president if he can solve drug problem https://t.co/OINuTYkFoJ",FALSE,0,NA,2016-10-08 10:57:15,FALSE,NA,"784709236391456768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kopiko_bryant",2,TRUE,FALSE,NA,NA
"17","RT @XHNews: Philippine President Rodrigo #Duterte tells the U.S. not to treat the #Philippines ""like a doormat"" https://t.co/RzT96KNmNc",FALSE,0,NA,2016-10-08 10:56:57,FALSE,NA,"784709161103732736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mShahedHasan",127,TRUE,FALSE,NA,NA
"18","RT @AP: In just 100 days in office, Philippine President Duterte has stirred a hornet's nest, at home and abroad. https://t.co/dwuKeHq2Yl",FALSE,0,NA,2016-10-08 10:56:51,FALSE,NA,"784709132695826433",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","artistdaddy",64,TRUE,FALSE,NA,NA
"19","In just 100 days in office, Philippine President Duterte has stirred a hornet's nest, at... https://t.co/s95pwo1LsG by #AP via @c0nvey",FALSE,0,NA,2016-10-08 10:56:50,FALSE,NA,"784709128430182401",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","nikos_samaras",0,FALSE,FALSE,NA,NA
"20","RT @AP: In just 100 days in office, Philippine President Duterte has stirred a hornet's nest, at home and abroad. https://t.co/dwuKeHq2Yl",FALSE,0,NA,2016-10-08 10:56:32,FALSE,NA,"784709054455132160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","geopinionated",64,TRUE,FALSE,NA,NA
"21","‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US https://t.co/1FNbRlZmnt",FALSE,0,NA,2016-10-08 10:55:53,FALSE,NA,"784708892030803968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","theaceofspuds",0,FALSE,FALSE,NA,NA
"22","RT @Radia_a_a: can the most powerful race not do anything wrong seriously
i like this guy.
https://t.co/7np4dEWof4 https://t.co/pNkb9elo2n",FALSE,0,NA,2016-10-08 10:54:54,FALSE,NA,"784708644294135808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aruji_Dono",2,TRUE,FALSE,NA,NA
"23","RT @gmanews: Experts: President Duterte’s first 100 days was satisfactory but there is much more to be done for change to happen. https://t…",FALSE,0,NA,2016-10-08 10:52:34,FALSE,NA,"784708057993318400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hanasgaming",6,TRUE,FALSE,NA,NA
"24","‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US https://t.co/gR2VpAmyAu",FALSE,0,NA,2016-10-08 10:52:31,FALSE,NA,"784708042445193216",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","Hatuxka",0,FALSE,FALSE,NA,NA
"25","Experts: President Duterte’s first 100 days was satisfactory but there is much more to be done for change to happen. …",FALSE,0,NA,2016-10-08 10:52:11,FALSE,NA,"784707959075049472",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Aslan2266",0,FALSE,FALSE,NA,NA
